,corrs,x_coord,y_coord,offset,label
385,0.07628199700174056,[5],[15],[-40],Dorsal
386,0.0038773157365916116,[5],[16],[-44],Dorsal
387,-0.039199344370450646,[5],[17],[-48],Dorsal
388,-0.07528388658882865,[5],[18],[-52],Dorsal
389,-0.15201188949134553,[5],[19],[-56],Dorsal
390,-0.17176096609134164,[5],[20],[-60],Dorsal
391,-0.141753876250328,[5],[21],[-64],Dorsal
392,-0.09140857282142868,[5],[22],[-68],Dorsal
393,-0.07891887596263332,[5],[23],[-72],Dorsal
394,-0.0983211189327887,[5],[24],[-76],Dorsal
395,-0.10832496871604323,[5],[25],[-80],Dorsal
396,-0.10126480285152882,[5],[26],[-84],Dorsal
397,-0.07717490826340578,[5],[27],[-88],Dorsal
398,-0.024676644501106643,[5],[28],[-92],Dorsal
399,-0.01262784753051868,[5],[29],[-96],Dorsal
400,-0.012591392956084906,[5],[30],[-100],Dorsal
401,-0.003207005890749521,[5],[31],[-104],Dorsal
402,-0.001280861657237275,[5],[32],[-108],Dorsal
403,-0.005749266927090797,[5],[33],[-112],Dorsal
404,0.02515916387983357,[5],[34],[-116],Dorsal
405,0.06988854125369887,[5],[35],[-120],Dorsal
406,0.12224293193779627,[5],[36],[-124],Dorsal
407,0.15430845249931596,[5],[37],[-128],Dorsal
408,0.1479867653745701,[5],[38],[-132],Dorsal
409,0.11143374724102045,[5],[39],[-136],Dorsal
410,0.05684089177204938,[5],[40],[-140],Dorsal
411,-0.004544528954261444,[5],[41],[-144],Dorsal
412,-0.06708453869641942,[5],[42],[-148],Dorsal
413,-0.11426090233025352,[5],[43],[-152],Dorsal
414,-0.17975882132672358,[5],[44],[-156],Dorsal
415,-0.24358763610892714,[5],[45],[-160],Dorsal
416,-0.3044372099585848,[5],[46],[-164],Dorsal
417,-0.37852079960357604,[5],[47],[-168],Dorsal
418,-0.4479846929705065,[5],[48],[-172],Dorsal
419,-0.4645399421082054,[5],[49],[-176],Dorsal
420,-0.4519721874500544,[5],[50],[-180],Dorsal
421,-0.41528699724562124,[5],[51],[-184],Dorsal
422,-0.3728762605777726,[5],[52],[-188],Dorsal
423,-0.3420815752567289,[5],[53],[-192],Dorsal
424,-0.3097944133360058,[5],[54],[-196],Dorsal
425,-0.2837124346557476,[5],[55],[-200],Dorsal
426,-0.26564336541085937,[5],[56],[-204],Dorsal
427,-0.2393513528978616,[5],[57],[-208],Dorsal
428,-0.1937091437082721,[5],[58],[-212],Dorsal
429,-0.14728404088419572,[5],[59],[-216],Dorsal
430,-0.12293054959388533,[5],[60],[-220],Dorsal
